status,totalResults,source,author,title,description,url,urlToImage,publishedAt,content
ok,70,"{'id': None, 'name': 'Fox Business'}",Brian O'Connell,How do rewards credit cards work? - Fox Business,Rewards credit cards keep on giving – as long as you keep spending.,https://www.foxbusiness.com/money/rewards-credit-cards,https://a57.foxnews.com/static.foxbusiness.com/foxbusiness.com/content/uploads/2020/07/0/0/rewards-cc-watermarked.jpg?ve=1&tl=1,2020-07-10T18:10:00Z,"While rewards credit cards continue to grow in popularity, U.S. financial consumers don’t always understand how their cards work and what rewards they actually earn.
According to a 2019 study from J… [+3563 chars]"
ok,70,"{'id': None, 'name': 'Yahoo Entertainment'}",Crystal Kim,Apollo-Backed Blank-Check Company Surges 71% on Possible Fisker Deal - Yahoo Finance,"(Bloomberg) -- The allure of electric vehicles is boosting shares of blank-check companies, the latest being Apollo Global Management-backed Spartan Energy Acquisition Corp.Spartan Energy became something of an overnight sensation Thursday after Reuters repor…",https://finance.yahoo.com/news/apollo-backed-blank-check-company-145535304.html,https://s.yimg.com/uu/api/res/1.2/UkeGR986k_MqSmpAhC6phw--~B/aD0xMzMzO3c9MjAwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/27fb7372be626047b5131addb1231c98,2020-07-10T17:47:00Z,"(Bloomberg) -- The allure of electric vehicles is boosting shares of blank-check companies, the latest being Apollo Global Management-backed Spartan Energy Acquisition Corp.
Spartan Energy became so… [+2136 chars]"
ok,70,"{'id': None, 'name': 'KTIV'}",Associated Press,"Amazon's homeless shelter faces Seattle crisis, criticism - KTIV",SEATTLE (AP) — A homeless shelter built on Amazon’s perfectly manicured urban Seattle campus is a major civic contribution that pushes the company to face the crisis and criticism in the hometown it has rapidly transformed. Believed to be the first homeless s…,https://ktiv.com/2020/07/10/amazons-homeless-shelter-faces-seattle-crisis-criticism/,https://s3-ca-central-1.amazonaws.com/quincy-network/wp-content/uploads/sites/4/2018/08/21141516/AP.jpg,2020-07-10T17:43:29Z,SEATTLE (AP) A homeless shelter built on Amazons perfectly manicured urban Seattle campus is a major civic contribution that pushes the company to face the crisis and criticism in the hometown it has… [+420 chars]
ok,70,"{'id': None, 'name': 'InsideHook'}",Jason Diamond,"The Long, Slow Death of Brooks Brothers, An American Icon - InsideHook",When and how did it all go so wrong for the brand that essentially created the prep aesthetic?,https://www.insidehook.com/article/menswear/long-slow-death-brooks-brothers,"https://www.insidehook.com/wp-content/uploads/2020/07/GettyImages-1225701734.jpg?resize=1200,800",2020-07-10T17:09:51Z,"Were 30 years and a day away from Forbes publishing the article, An Escalator? In Brooks Brothers?, that tried to make sense of the iconic brands new ownerships handling of the company it had recentl… [+4847 chars]"
ok,70,"{'id': None, 'name': ""Investor's Business Daily""}",Investor's Business Daily,"Dow Jones Leads Market On Coronavirus Vaccine Hopes, But Nasdaq Slips Into Red - Investor's Business Daily",The Dow Jones Industrial Average was up 200 points Friday afternoon as the stock market got a boost from bullish coronavirus vaccine news.,https://www.investors.com/market-trend/stock-market-today/dow-jones-rallies-lead-stock-market-coronavirus-vaccine-near/,https://www.investors.com/wp-content/uploads/2018/01/stock-bull-18-adobe.jpg,2020-07-10T16:55:00Z,"The Dow Jones Industrial Average was up 200 points Friday afternoon, as the stock market got a boost from bullish coronavirus vaccine news.
XThe Dow Jones industrials rose 0.8% and the S&amp;P 500 a… [+4998 chars]"
ok,70,"{'id': 'google-news', 'name': 'Google News'}",,Kids Shipped in Armoires? The Person Who Started the Wayfair Conspiracy Speaks - Newsweek,,https://news.google.com/__i/rss/rd/articles/CBMiXWh0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS93YXlmYWlyLWNoaWxkLXRyYWZmaWNraW5nLWNvbnNwaXJhY3ktdGhlb3J5LWNhYmluZXRzLXNjYW5kYWwtMTUxNzAxM9IBY2h0dHBzOi8vd3d3Lm5ld3N3ZWVrLmNvbS93YXlmYWlyLWNoaWxkLXRyYWZmaWNraW5nLWNvbnNwaXJhY3ktdGhlb3J5LWNhYmluZXRzLXNjYW5kYWwtMTUxNzAxMz9hbXA9MQ?oc=5,,2020-07-10T16:37:58Z,
ok,70,"{'id': None, 'name': 'WBNG-TV'}",WBNG,Oakdale Mall to open July 20 - WBNG-TV,12:33 P.M. UPDATE: (WBNG) -- The Oakdale Mall says it will reopen on July 20. The malls says it plans to be compliant with the HVAC filtration mandates by Governor Andrew Cuomo. 📢Mall Re-opening update!Mark your calendar 🗓Tentative date July 20th we plan to…,http://wbng.com/2020/07/10/malls-open-across-state-but-oakdale-mall-remains-closed/,https://quincy-network.s3.ca-central-1.amazonaws.com/wp-content/uploads/sites/19/2020/07/Oakdale-Mall-Pic.jpg,2020-07-10T16:30:00Z,"12:33 P.M. UPDATE:
(WBNG) -- The Oakdale Mall says it will reopen on July 20.
The malls says it plans to be compliant with the HVAC filtration mandates by Governor Andrew Cuomo.
Mall Re-opening up… [+861 chars]"
ok,70,"{'id': None, 'name': 'The Takeout'}",Allison Robicelli,Sur La Table bankruptcy means big liquidation sales - The Takeout,Kitchenware retailer Sur La Table has filed for Chapter 11 bankruptcy protection in this cuckoo crazy coronavirus world. I must remind you that filing for Chapter 11 bankruptcy does not mean a company is going out of business—it means it’s working on reorgani…,https://thetakeout.com/sur-la-table-bankruptcy-means-big-liquidation-sales-1844337060,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/mascqsvn1a44vvdsfjt0.jpg",2020-07-10T16:28:00Z,Kitchenware retailer Sur La Table has filed for Chapter 11 bankruptcy protection in this cuckoo crazy coronavirus world. I must remind you that filing for Chapter 11 bankruptcy does not mean a compan… [+1589 chars]
ok,70,"{'id': None, 'name': 'Forbes'}",Tanisha Pina,The Lululemon Online Warehouse Sale You Don’t Want To Miss - Forbes,"Lululemon sales are few and far between, but this weekend you can shop the brand's most popular products at steep discounts.",https://www.forbes.com/sites/forbes-personal-shopper/2020/07/10/lululemon-warehouse-sale-what-to-buy/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5f07847f3e0bd30006e3a375%2F0x0.jpg%3FcropX1%3D43%26cropX2%3D1156%26cropY1%3D0%26cropY2%3D627,2020-07-10T16:15:00Z,Fitness and athleisure brand Lululemon is known for many things: super comfortable yoga and running leggings; stylish everyday clothing thats as comfortable as athletic wear; and high price tags that… [+8831 chars]
ok,70,"{'id': None, 'name': 'CNBC'}",Phil LeBeau,"American Airlines tells Boeing: No financing, no 737 Max deliveries - CNBC","American Airlines executives have told Boeing they will not take delivery of 17 Boeing 737 Max airplanes unless the airline can secure financing to pay for the aircraft, people familiar with the discussions told CNBC.",https://www.cnbc.com/2020/07/10/american-airlines-tells-boeing-no-financing-no-737-max-deliveries.html,https://image.cnbcfm.com/api/v1/image/106011692-1562770624382aa.jpg?v=1594395792,2020-07-10T16:08:00Z,"American Airlines executives have told Boeing they will not take delivery of 17 737 Max airplanes unless the carrier can secure financing to pay for the aircraft, people familiar with the discussions… [+2440 chars]"
